abettor abetter
abridgement abridgment
absinthe absinth
acceleratory accelerative
acclimatization acclimation
acclimatize acclimate
accompanyist accompanist
accoutre accouter
accoutrements accouterments
accursed accurst
accusation accusal
adaptor adapter
addressor addresser
adjustor adjuster
administrate administer
admonishment admonition
adventuresome adventurous
advertize advertise
advertizement advertisement
advertizer advertiser
advisor adviser
adze adz
aegis egis
aerofoil airfoil
aerogramme aerogram
aeronautical aeronautic
aeroplane airplane
aether ether
aetiology etiology
afterwards afterward
agendum agenda
agriculturalist agriculturist
aigrette aigret
algebraical algebraic
aline align
alinement alignment
alleluiah alleluia
alphanumeric alphameric
although altho
alto alt
aluminium aluminum
ambidexterous ambidextrous
ameer emir
amidships midships
amidst amid
ammunition ammo
amongst among
amphitheatre amphitheater
ampoule ampul
ampule ampul
amuck amok
an a
anaemia anemia
anaesthesia anesthesia
anaesthetic anesthetic
anaesthetist anesthetist
anaesthetize anesthetize
analects analecta
analogue analog
analytical analytic
analyze analyse
analyzer analyser
anapaest anapest
anapaestic anapestic
anarchical anarchic
anatomical anatomic
angelical angelic
annexe annex
anthropological anthropologic
antithetical antithetic
anybody anyone
anywhere anyplace
aphis aphid
apostolical apostolic
appall appal
appanage apanage
apprize apprise
approval appro
arbour arbor
archaeological archeological
archaeologist archeologist
archaeology archeology
archetypical archetypal
ardour ardor
armourer armorer
armoury armory
arrogancy arrogance
artifact artefact
aryan arian
asbestus asbestos
ascendency ascendancy
ascendent ascendant
assegai assagai
astronomical astronomic
asymmetrical asymmetric
atheistical atheistic
athene athena
auntie aunty
aureole aureola
authorization authorisation
authorize authorise
autobiographical autobiographic
autocratical autocratic
autogyro autogiro
awestricken awestruck
baboo babu
backcloth backdrop
backstairs backstair
bacterium bacteria
baghdad bagdad
bakeshop bakery
bandanna bandana
barcarolle barcarole
barebacked bareback
barefooted barefoot
bareheaded barehead
bargeman bargee
barkeeper barkeep
barometrical barometric
barque bark
barytone baritone
bathyscaphe bathyscaph
battleground battlefield
baulk balk
behaviour behavior
belabour belabor
belgrade beograd
bellflower campanula
bellhop bellboy
benzoline benzine
bicentennial bicentenary
billsticker billposter
biographical biographic
biological biologic
bipartizan bipartisan
blether blather
blithesome blithe
blowtorch blowlamp
blowzy blowsy
blueish bluish
bobsleigh bobsled
bollocks ballocks
boracic boric
bourne bourn
braunschweig brunswick
brier briar
broadwise broadways
broncho bronco
bunko bunco
bypath byway
cabdriver cabbie
cabdriver cabby
caesarean cesarean
caesarean cesarian
caesarian caesarean
caesura cesura
calibre caliber
caliph calif
caliphate califate
callipers calipers
callisthenic calisthenic
callisthenics calisthenics
calorie calory
candidature candidacy
candleholder candlestick
candour candor
cantabrigian cantab
cantaloupe cantaloup
canute cnut
carburettor carburetor
carcass carcase
carotene carotin
carrousel carousel
catalogue catalog
catalyze catalyse
catechize catechise
cauldron caldron
caviare caviar
celebrator celebrant
centigramme centigram
centilitre centiliter
centre center
centreboard centerboard
centrepiece centerpiece
cesspool cesspit
chairwoman chairlady
chamomile camomile
chantey chanty
chaperone chaperon
charwoman charlady
chequebook checkbook
chevvy chivy
chili chile
chilli chili
chimaera chimera
chimerical chimeric
chimneypiece mantelpiece
chiseller chiseler
chivvy chivy
chivy chevy
chocolate choc
chokey choky
choosey choosy
christmas xmas
christmastime christmastide
cicala cicada
cigarette cigaret
citrous citrus
civilization civilisation
civvies civies
claimant claimer
clamour clamor
clangour clangor
clarinettist clarinetist
cliquish cliquey
coastguardman coastguard
coastguardsman coastguardman
cockcrowing cockcrow
codling codlin
coherency coherence
coition coitus
coleslaw slaw
collectible collectable
colosseum coliseum
colouration coloration
colourcast colorcast
colourfast colorfast
colourless colorless
comfortable comfy
compensatory compensative
competency competence
complacency complacence
complementary complemental
compliancy compliance
coney cony
conformance conformity
conjuror conjurer
connection connexion
consignor consigner
consistency consistence
convergency convergence
conversancy conversance
conversationalist conversationist
conveyor conveyer
cookie cooky
coomb combe
coppice copse
cornelian carnelian
corpulency corpulence
cosecant cosec
cotillion cotillon
counsellor counselor
counterpunch counterblow
cousin coz
cowrie cowry
crampoon crampon
