Ames#Ns#-es: num/inf corrected
Bangladeshi#Ns#-es: num/inf corrected
Finn#Ns#-es: num/inf corrected
G#Ns#-s: entry deleted
Germany#Ns#-s: num/inf corrected
Gogh#Ns#-es: num/inf corrected
Grammy#Ns#-s: num/inf corrected
Illinois#Ns#-s: num/inf corrected
Kentucky#Ns#-s: num/inf corrected
Mary#Ns#-s: num/inf corrected
Minneapolis#Ns#-s: num/inf corrected
Olympics#Ns#-s: num/inf corrected
Omani#Ns#-es: num/inf corrected
SOS#Ns#-s: num/inf corrected
Sicila#Ns#: entry deleted
TASS#Ns#-s: num/inf corrected
Thai#Ns#-es: num/inf corrected
Wales#Ns#-s: num/inf corrected
Wilcox#Ns#-s: entry deleted
X#Ns#-s: entry deleted
Yemeni#Ns#-es: num/inf corrected
acceptance#Ns#: inf corrected for prefixed forms
acclamation#Ns#: num/inf corrected
acclamations#Np#: entry deleted
accomodating#A#: entry deleted
adequacy#Ns#: inf corrected for prefixed forms
adversities#Np#: entry deleted
adversity#Ns#: num/inf corrected
adze#Ns#-es: num/inf corrected
age#V#-d|-d|-s|aging: num/inf corrected
agglutination#Ns#: num/inf corrected
aggregation#Ns#: inf corrected for prefixed forms
aline#V#-d|-d|-s|alined: num/inf corrected
alluvium#Ns#-s~allvia: num/inf corrected
amass#V#-ed|-ed|-s|-ing: num/inf corrected
ambassadress#Ns#-s: num/inf corrected
amoeba#Ns#-s: entry deleted
annualy#D#: entry deleted
annumciation#Ns#-s: entry deleted
ante#V#-d|-d|-s|anting: num/inf corrected
anticathode#Ns#: inf corrected for prefixed forms
anticipant#D#: POS corrected
antigravity#A#: POS corrected
antipollution#A#: POS corrected
antipoverty#A#: POS corrected
antiresonance#A#: POS corrected
aperitif#Ns#aperitives: num/inf corrected
applique#V#-d|-d|-s|appliquing: num/inf corrected
armor#Ns#: inf corrected for variant forms
arrears#Np#: entry deleted
audibility#Ns#: inf corrected for prefixed forms
augmentability#Ns#-s: num/inf corrected
aunty#Ns#-s: num/inf corrected
autohypnosis#Ns#-es: inf corrected for prefixed forms
autoindex#Ns#-s: num/inf corrected
autosuggestion#Ns#: inf corrected for prefixed forms
barrel#V#-ed|-ed|-s|-ing: num/inf corrected
bash#V#-ed|-ed|-s|-ing: num/inf corrected
basting#Ns#: num/inf corrected
bastings#Np#: entry deleted
bearing#Ns#: num/inf corrected
bearings#Np#: entry deleted
beech#Ns#-s: num/inf corrected
being#X#: entry deleted
belch#Ns#-s: num/inf corrected
belligerence#Ns#: entry deleted
belligerency#Ns#: entry deleted
besmirch#V#-ed|-ed|-s|-ing: num/inf corrected
bevel#V#-led|-led|-s|-ling: num/inf corrected
bicarbonate#Ns#: inf corrected for prefixed forms
biochemistry#Ns#: inf corrected for prefixed forms
biofuel#Ns#biofueies: num/inf corrected
biosynthesis#Ns#: inf corrected for prefixed forms
biotechnology#Ns#: inf corrected for prefixed forms
biquadratic#Ns#: inf corrected for prefixed forms
bisection#Ns#: inf corrected for prefixed forms
bismuth#Ns#-es: num/inf corrected
bitch#V#-ed|-ed|-s|-ing: num/inf corrected
blackfish#Ns#-s: num/inf corrected
blanch#V#-ed|-ed|-s|-ing: num/inf corrected
blench#V#-ed|-ed|-s|-ing: num/inf corrected
blockhouse#Ns#-es: num/inf corrected
bluefish#Ns#-s: num/inf corrected
bluepencil#V#-ed|-ed|-s|-ing: num/inf corrected
bobsleigh#Ns#-es: num/inf corrected
bonny#A#-r|-st: num/inf corrected
bookshelf#Ns#bookselves: num/inf corrected
booty#Ns#: num/inf corrected
bos#V#-sed|-sed|-es|-sing: num/inf corrected
bray#V#braied|braied|braies|-ing: num/inf corrected
broach#Ns#-s: num/inf corrected
broadcloth#Ns#-es: num/inf corrected
burst#V#-|-|-s|-ing: num/inf corrected
bus#V#-ed|-ed|-es|-ing: num/inf corrected
business#Ns#: num/inf corrected
businesses#Np#: entry deleted
butterfingers#Ns#-s: num/inf corrected
butterfish#Ns#-s: num/inf corrected
butterfly#Ns#-s: num/inf corrected
cabal#V#-ed|-ed|-s|-ing: num/inf corrected
caddy#Ns#-s: num/inf corrected
cagey#A#cageier|cageiest: num/inf corrected for -ey adj.
calash#Ns#-s: num/inf corrected
calibration#Ns#: num/inf corrected
calibrations#Np#: entry deleted
calipash#Ns#-s: num/inf corrected
calipers#Np#: entry deleted
callipers#Np#: entry deleted
canal#V#-ed|-ed|-s|-ing: num/inf corrected
carburet#V#-ted|-ted|-s|-ting: num/inf corrected
cardpunch#Ns#-s: num/inf corrected
carol#V#-ed|-ed|-s|-ing: num/inf corrected
cater#V#-d|-d|-s|cateing: num/inf corrected
cattish#A#cattier|cattiest: num/inf corrected
caucus#Ns#-s: num/inf corrected
cavendish#Ns#-s: num/inf corrected
chancellery#Ns#-s: num/inf corrected
chancellory#Ns#-s: num/inf corrected
changeableably#D#: entry deleted
changeableness#Ns#: inf corrected for prefixed forms
channel#V#-ed|-ed|-s|-ing: num/inf corrected
chantey#Ns#chanties: num/inf corrected
chaperone#V#-ed|-ed|-s|-ing: num/inf corrected
chemistry#Ns#: num/inf corrected
chemotherapy#Ns#: entry deleted
chide#V#chid~-d|chid~chidden~-d|-s|-ing: num/inf corrected
chinch#Ns#-s: num/inf corrected
chirrup#V#-ped|-ped|-s|-ping: num/inf corrected
chisel#V#-ed|-ed|-s|-ing: num/inf corrected
chives#Np#-s: num/inf corrected
chlorination#Ns#: num/inf corrected
choosey#A#chooseier|chooseiest: num/inf corrected for -ey adj.
cinch#V#-ed|-ed|-s|-ing: num/inf corrected
circumnavigation#Ns#: inf corrected for prefixed forms
civilities#Np#: entry deleted
civility#Ns#: num/inf corrected
cleanness#Ns#: inf corrected for prefixed forms
cleave#V#-d~cleft|-d~cleft|-es|cleaving: num/inf corrected
clinch#V#-ed|-ed|-s|-ing: num/inf corrected
clipper#Ns#: num/inf corrected
clippers#Np#: entry deleted
cloy#V#cloied|cloied|cloies|-ing: num/inf corrected
cockroach#Ns#-s: num/inf corrected
coeducation#Ns#: inf corrected for prefixed forms
coexistence#Ns#: inf corrected for prefixed forms
cogitation#Ns#: inf corrected for prefixed forms
cognition#Ns#: inf corrected for prefixed forms
cognizance#Ns#: inf corrected for prefixed forms
cohabitation#Ns#: inf corrected for prefixed forms
coherence#Ns#: inf corrected for variant forms
coherency#Ns#-s: num/inf corrected
coloration#Ns#: inf corrected for prefixed forms
colouration#Ns#: inf corrected for variant forms
combat#V#-ted|-ted|-s|-ting: num/inf corrected
communication#Ns#: num/inf corrected
communications#Np#: entry deleted
compassion#Ns#: inf corrected for prefixed forms
compatibility#Ns#: num/inf corrected
comprehension#Ns#: inf corrected for prefixed forms
condolence#Ns#: num/inf corrected
condolences#Np#: entry deleted
confab#V#-ed|-ed|-s|-ing: num/inf corrected
confabb#Ns#-s: entry deleted
confabb#V#-ed|-ed|-s|-ing: entry deleted
conferment#Ns#: inf corrected for prefixed forms
confusion#Ns#: inf corrected for prefixed forms
congeries#Ns#-es: num/inf corrected
consistence#Ns#: inf corrected for variant forms
constancy#Ns#: inf corrected for prefixed forms
constelation#Ns#-s: entry deleted
consternation#Ns#: num/inf corrected
constitutionality#Ns#: num/inf corrected
convection#Ns#: inf corrected for prefixed forms
convertibility#Ns#: num/inf corrected
coordination#Ns#: num/inf corrected
cortex#Ns#cortices: inf corrected for prefixed forms
cosecant#Ns#: inf corrected for prefixed forms
cosh#Ns#-s: num/inf corrected
cotangent#Ns#: inf corrected for prefixed forms
cottonmouth#Ns#-es: num/inf corrected
counsel#V#-ed|-ed|-s|-ing: num/inf corrected
counterintelligence#Ns#: inf corrected for prefixed forms
countertenor#Ns#: inf corrected for prefixed forms
cragged#A#craggier|craggiest: num/inf corrected
crystallizetion#Ns#-s: entry deleted
crystalloid#Ns#-es: num/inf corrected
cuddlesome#A#cuddlier|cuddliest: num/inf corrected
cudgel#V#-ed~-led|-ed-~led|-s|-ing~-ling: num/inf corrected
curtsey#Ns#curtseies: num/inf corrected
curtsey#V#curtseied|curtseied|curtseies|-ing: num/inf corrected
curvet#V#-ted|-ted|-s|-ting: num/inf corrected
cybernation#Ns#: num/inf corrected
cycliccally#D#: entry deleted
damnation#Ns#: num/inf corrected
deary#Ns#-s: num/inf corrected
debasement#Ns#: inf corrected for prefixed forms
debilitate#V#-d|-d|-s|devilitating: num/inf corrected
decadence#Ns#: inf corrected for prefixed forms
decompression#Ns#: inf corrected for prefixed forms
decontamination#Ns#: num/inf corrected
decontrol#Ns#: inf corrected for prefixed forms
deepfreeze#V#deepfroze|deepfrozen|-s|-ing: num/inf corrected
deescalation#Ns#: inf corrected for prefixed forms
defile#V#-d|-d|-s|-defiling: num/inf corrected
defoliation#Ns#: inf corrected for prefixed forms
deforestation#Ns#: inf corrected for prefixed forms
degeneration#Ns#: inf corrected for prefixed forms
degradation#Ns#: inf corrected for prefixed forms
delimitate#V#-d|-d|-s|-delimitating: num/inf corrected
delimitation#Ns#: inf corrected for prefixed forms
demeanor#Ns#: inf corrected for prefixed forms
demeanour#Ns#: inf corrected for prefixed forms
demob#V#-ed|-ed|-s|-ing: num/inf corrected
deodorizer#A#: POS deleted
dependence#Ns#: num/inf corrected
depopulation#Ns#: inf corrected for prefixed forms
derogation#Ns#: inf corrected for prefixed forms
detraction#Ns#: inf corrected for prefixed forms
devaluation#Ns#: inf corrected for prefixed forms
